model_size,trace_length,monitor_synthesis_time [sec],monitor_time_prism [sec],monitor_time_per_event_prism [sec],monitor_time_storm [sec],monitor_time_per_event_storm [sec]
600,400,0.7461276054382324,150.3497582912445,0.37587439572811127,17.920445585250853,0.04480111396312713
600,450,0.7695894241333008,170.67914896011354,0.3792869976891412,20.235376644134522,0.04496750365363227
600,500,0.7396205425262451,188.64564881324767,0.3772912976264953,22.346017026901244,0.04469203405380249
700,50,0.864228630065918,18.91511664390564,0.3783023328781128,2.4911968231201174,0.049823936462402345
700,100,0.9004072666168212,38.216040182113645,0.3821604018211364,4.908339881896973,0.04908339881896973
700,150,0.8548217296600342,57.613690328598025,0.38409126885732015,7.42735447883606,0.049515696525573735
700,200,0.8729084014892579,76.26466469764709,0.38132332348823544,9.841167163848876,0.049205835819244384
700,250,0.9331573486328125,95.59499063491822,0.3823799625396729,12.320259237289429,0.04928103694915772
700,300,0.8353907585144043,114.19888229370117,0.38066294097900394,14.68919792175293,0.048963993072509766
700,350,0.876685380935669,128.41785097122192,0.36690814563206264,16.953984832763673,0.048439956665039065
700,400,0.7021780490875245,131.588476228714,0.328971190571785,17.459564542770387,0.043648911356925967
700,450,0.70039381980896,140.98063459396363,0.31329029909769696,19.220416641235353,0.042712036980523005
700,500,0.6982254028320313,156.407719039917,0.312815438079834,21.344220685958863,0.042688441371917726
800,50,0.8153585910797119,15.846192836761475,0.3169238567352295,2.3248229026794434,0.04649645805358887
800,100,0.8175881385803223,31.671624374389648,0.31671624374389645,4.645389652252197,0.04645389652252197
800,150,0.8171615600585938,47.601459693908694,0.31734306462605794,6.971567440032959,0.046477116266886394
800,200,0.8133583068847656,63.49548125267029,0.3174774062633514,9.307743787765503,0.046538718938827515
800,250,0.8147639751434326,79.34191956520081,0.31736767826080325,11.621843528747558,0.04648737411499023
800,300,0.8257852554321289,95.29546303749085,0.3176515434583028,13.94536566734314,0.04648455222447713
800,350,0.8162699699401855,111.09358649253845,0.3174102471215384,16.27421474456787,0.04649775641305106
800,400,0.8181733131408692,126.82549209594727,0.31706373023986817,18.58923273086548,0.0464730818271637
800,450,0.8322412014007569,143.76370692253113,0.3194749042722914,20.923505449295043,0.046496678776211206
800,500,0.8090013027191162,162.41224026679993,0.32482448053359986,23.261161375045777,0.046522322750091556
900,50,0.9563186645507813,16.295574188232422,0.32591148376464846,2.5217769622802733,0.05043553924560547
900,100,0.9495107650756835,32.913853597640994,0.32913853597640996,5.051340246200562,0.05051340246200562
900,150,0.9485699653625488,48.51257433891296,0.32341716225941974,7.56811900138855,0.050454126675923666
900,200,0.9499127388000488,64.82199778556824,0.3241099889278412,10.074858570098877,0.050374292850494384
900,250,0.9481158256530762,81.02004928588867,0.3240801971435547,12.613459300994872,0.05045383720397949
900,300,0.9573185443878174,96.98210344314575,0.32327367814381913,15.119928789138793,0.05039976263046264
900,350,0.9471879005432129,112.90197944641113,0.3225770841326032,17.643159246444704,0.05040902641841344
900,400,0.949335765838623,128.54398465156555,0.3213599616289139,20.161299085617067,0.05040324771404267
900,450,0.9469771385192871,144.78045048713685,0.32173433441585964,22.66569356918335,0.050368207931518555
900,500,0.9502903461456299,160.60226187705993,0.32120452375411984,25.26495819091797,0.05052991638183594
1000,50,1.0891135692596436,16.461543369293214,0.32923086738586427,2.710041379928589,0.05420082759857178
1000,100,1.0928498268127442,32.4268753528595,0.32426875352859497,5.4204658508300785,0.054204658508300786
1000,150,1.0893708705902099,48.63014101982117,0.3242009401321411,8.13126449584961,0.05420842997233073
1000,200,1.092495584487915,64.86885423660279,0.32434427118301395,10.841947317123413,0.05420973658561706
1000,250,1.091097116470337,81.05214533805847,0.32420858135223385,13.553236532211304,0.05421294612884522
